Group	binnum	CG	CHG	CHH
gbM	1	0.218771367905855	0.0511409804983749	0.0207662243706072
gbM	2	0.208596243782941	0.0570318462499133	0.0225829388700404
gbM	3	0.22150870977266	0.0599280352152551	0.0231465216151312
gbM	4	0.209590763603109	0.0629007853591757	0.0238148230580904
gbM	5	0.196631728150994	0.0616118944423109	0.0237586678576206
gbM	6	0.204295342903926	0.0606542436640748	0.0231397676863286
gbM	7	0.194812038880431	0.0587522950115239	0.023589693797389
gbM	8	0.183585485609357	0.0614324903385996	0.0236932415186403
gbM	9	0.173830606934667	0.0559656476842859	0.0249520417179824
gbM	10	0.170658309812386	0.0637752421778142	0.0253977809864686
gbM	11	0.158239661537185	0.0627475138607762	0.0280217796057723
gbM	12	0.156193050351168	0.0602041936546273	0.0304683573665288
gbM	13	0.145384285100902	0.0629695885509839	0.0297837802412748
gbM	14	0.126527724173421	0.0564030860652668	0.0267757237640458
gbM	15	0.118726339503449	0.0509407858328722	0.0258169286590954
gbM	16	0.0931037020681534	0.0403972738393429	0.0222487797795226
gbM	17	0.0753316175014849	0.0386859859375445	0.0192635412837906
gbM	18	0.0527743948037519	0.0201966590312308	0.0164949907517398
gbM	19	0.0323109933106147	0.0172371458036635	0.0112934943608357
gbM	20	0.0147891534484578	0.00791855203619909	0.0079202570884168
gbM	21	0.00853394269515403	0.00508306631149545	0.00473155127288161
gbM	22	0.0214990963763159	0.00421530177834499	0.0039872952290256
gbM	23	0.0722916550757917	0.00438154530770301	0.00403029612522205
gbM	24	0.164451483038304	0.00448157670897652	0.00420426837620887
gbM	25	0.264242085026647	0.0045513502458662	0.00434807809050632
gbM	26	0.346004354877191	0.00468303039770485	0.00420539084212187
gbM	27	0.398209959543427	0.00455722525854439	0.00434350281418358
gbM	28	0.452806202078332	0.00468635027918849	0.0041564153754103
gbM	29	0.501564561628601	0.00471804088968771	0.00424318569956139
gbM	30	0.539416888378614	0.00474147900502534	0.00414518544076047
gbM	31	0.545336967065453	0.00482867323537541	0.0042385235683833
gbM	32	0.566020854032456	0.00465958520905589	0.00428921487334677
gbM	33	0.573949225464134	0.00467470708309344	0.00426550252505067
gbM	34	0.575513873366053	0.00456782958233916	0.00423453788343996
gbM	35	0.566039477864643	0.00459510046618343	0.00428873285623715
gbM	36	0.542876421929125	0.00475492521292119	0.00416431830447918
gbM	37	0.490711097275731	0.00490368652147418	0.00434490383011319
gbM	38	0.39638498629443	0.0051865337563386	0.00446128012439712
gbM	39	0.258700920268201	0.00523612011571018	0.00454439388636098
gbM	40	0.109915580133583	0.00744768479475965	0.00558394040977792
gbM	41	0.0729950997968208	0.00867451381780962	0.00694516175045621
gbM	42	0.078015255645344	0.0107357704766312	0.00706039139331673
gbM	43	0.083267491879554	0.011292556987532	0.00798535125720155
gbM	44	0.0985019093312445	0.0139215092052428	0.00894864183125418
gbM	45	0.100576057605761	0.0144343739509903	0.00861161453323481
gbM	46	0.111993698992844	0.0136523454249207	0.00888615524064647
gbM	47	0.116821298910851	0.0154594767070836	0.0094381825008188
gbM	48	0.131077613855035	0.0176133451376916	0.00989974345656861
gbM	49	0.126404448442227	0.0152165736852003	0.0100906387197281
gbM	50	0.133628557370284	0.0169404439877291	0.00982173472645365
gbM	51	0.135805630691912	0.0182175361051	0.0101599874519646
gbM	52	0.148331093008567	0.019179743764688	0.0097857401122036
gbM	53	0.148530435070745	0.0177661914951328	0.00972428245155518
gbM	54	0.149468599033816	0.0172837958537694	0.00934670583232884
gbM	55	0.147484575225439	0.0177911487126233	0.00948564213366168
gbM	56	0.15006175032567	0.0206344600064149	0.00901928781661297
gbM	57	0.164903620122238	0.0196346483189616	0.00891273126636817
gbM	58	0.153811820850428	0.0165847665847666	0.00913162061948728
gbM	59	0.153000215306646	0.0201980258254878	0.0103834358191934
gbM	60	0.175084060147809	0.0210867678628523	0.0103521870229298
teM	1	0.48011710173213	0.221083333333333	0.0548791063933118
teM	2	0.49165120593692	0.224648985959438	0.0538709903839405
teM	3	0.503970528039296	0.227227640932386	0.0557486469194723
teM	4	0.508612798535408	0.197453979302134	0.0558599933893499
teM	5	0.501510574018127	0.195403343023256	0.0559461093358667
teM	6	0.513068271820054	0.227945971122497	0.0567791508799263
teM	7	0.508404494382023	0.218815777432049	0.0566177133075052
teM	8	0.530068805289965	0.227130533699877	0.0577090909090909
teM	9	0.53983974070406	0.2453114030689	0.0590950895352821
teM	10	0.54060243086137	0.244909887968826	0.0642748431641857
teM	11	0.549043800123381	0.24979674796748	0.0601704334938866
teM	12	0.60303239145417	0.255279257943556	0.0632861561533415
teM	13	0.597269019329668	0.252416870285775	0.0669003235248806
teM	14	0.614454469351688	0.244163837011885	0.0688102765216695
teM	15	0.605042016806723	0.252281484485905	0.0672438729617816
teM	16	0.585100340780008	0.269295965645836	0.0697912784196795
teM	17	0.600649891684719	0.261093585699264	0.0660482168647928
teM	18	0.60822928014749	0.286115958890828	0.0663805387799416
teM	19	0.628854393481773	0.278150704358514	0.0679409931435695
teM	20	0.632532194752428	0.292657704239917	0.0707359720235257
teM	21	0.591082765951334	0.261639273043226	0.0583437388186671
teM	22	0.540208667736758	0.245719781981404	0.0574442641154865
teM	23	0.539971239880699	0.218170452177537	0.0531202099105069
teM	24	0.567160499913723	0.227195371000681	0.0509374598690125
teM	25	0.571779234253612	0.243057767482264	0.0544664882170787
teM	26	0.571225887424627	0.247275417579603	0.0554974638081197
teM	27	0.574206415157055	0.248611740707162	0.0606113707165109
teM	28	0.592379696769941	0.254299892855129	0.0570793551416497
teM	29	0.596795398520953	0.270135746606335	0.060326579037747
teM	30	0.643134497202434	0.290512719273507	0.0625421182463971
teM	31	0.659487848840823	0.27411122844069	0.0619048812268217
teM	32	0.67860779413126	0.281515479787901	0.0581406794453668
teM	33	0.642232724801532	0.275143163922692	0.0599383103304057
teM	34	0.645394471504359	0.267407824373769	0.0572787318361955
teM	35	0.645317374419049	0.286576386683221	0.0624854912416844
teM	36	0.641678063674819	0.280458310659653	0.0595393744342754
teM	37	0.65185772841465	0.274879167183046	0.0577761627906977
teM	38	0.621601443414422	0.260556996843059	0.0551463139309387
teM	39	0.632446417734053	0.255102393203716	0.0560728156425414
teM	40	0.646976965613213	0.268950380183429	0.062061461408604
teM	41	0.686213991769547	0.263450834879406	0.0678724536095378
teM	42	0.669395223420647	0.279876277064392	0.0693666523050409
teM	43	0.627502833396298	0.284829384916323	0.0731386097530174
teM	44	0.627855887521968	0.266145619086796	0.0691532447960818
teM	45	0.614591389533385	0.253542207144283	0.0718396104614704
teM	46	0.582689204111102	0.24944612286002	0.0635470404870846
teM	47	0.567977484168556	0.239242193450114	0.063334168247039
teM	48	0.562819877827307	0.25218945487042	0.0636122085095969
teM	49	0.518739734209347	0.225046170081787	0.0630492733683034
teM	50	0.535211267605634	0.227662367750405	0.0574651002999782
teM	51	0.551878855860909	0.226898521505376	0.0571287779237845
teM	52	0.549743939911232	0.230351266549323	0.0537936636880585
teM	53	0.525049966688874	0.227851766068327	0.0555805508243083
teM	54	0.551488833746898	0.229268292682927	0.0508276102161598
teM	55	0.584770014657639	0.22596116655063	0.0555191768007484
teM	56	0.532162911365413	0.229976951887064	0.0508415480680846
teM	57	0.521459687209884	0.245214617169374	0.0514429713331835
teM	58	0.547302132531845	0.21957671957672	0.0545721068816622
teM	59	0.548725328947368	0.22397298818233	0.05439378732786
teM	60	0.516622691292876	0.203482624895445	0.0549937598003136
UM	1	0.134496487877513	0.0347528144884973	0.0170081449247426
UM	2	0.137142325644321	0.0356690693630885	0.0169489651512471
UM	3	0.134465570740081	0.0369181517812816	0.0165475700549964
UM	4	0.133246194712653	0.0394763098760184	0.0159363371744088
UM	5	0.12998816043883	0.0371718518388577	0.01554887195203
UM	6	0.110923697572512	0.0372162794435416	0.0158265855642943
UM	7	0.112105578455128	0.0351503514103018	0.016677130211481
UM	8	0.104929109336442	0.0347743648084945	0.0163549730563194
UM	9	0.0965686407617599	0.0312153910989582	0.0157318503447866
UM	10	0.0968713051386994	0.0311164585321329	0.016566236651541
UM	11	0.0860412585642919	0.0316285763381734	0.0162073788259963
UM	12	0.0868427756765761	0.0316850220264317	0.0166851178238178
UM	13	0.0834032064168746	0.0338304965783471	0.0183299019974225
UM	14	0.0754843090241677	0.0317053124455182	0.0173666571262383
UM	15	0.066136663966921	0.0283123286292858	0.0164313662024123
UM	16	0.0528631475517223	0.0205862396525987	0.0135054721678734
UM	17	0.0360590635833077	0.0170369767504951	0.0120552986694347
UM	18	0.0236824176606368	0.0133195396353291	0.0102436412070836
UM	19	0.0151021141069623	0.00963351852795759	0.00859983584297233
UM	20	0.0112478097857829	0.00747578655340461	0.00663329941226558
UM	21	0.00967747843446091	0.00492951949290837	0.00482742757384165
UM	22	0.0088497335630932	0.00602588298732812	0.00460653226807965
UM	23	0.00748915075239174	0.00671503317774556	0.00488872862147125
UM	24	0.0073863583253101	0.0077695150776458	0.00497387873366735
UM	25	0.00862506830022857	0.00673287728672234	0.00516079069905978
UM	26	0.00959966836432548	0.00694514760164585	0.00534973264240147
UM	27	0.0110516377209477	0.006933974406119	0.00496756115892988
UM	28	0.0117363640698501	0.00573484508205275	0.00481674198892905
UM	29	0.0119689545127943	0.00554965140035364	0.00497932893264201
UM	30	0.0132357237147005	0.00503747135454301	0.00475313738800821
UM	31	0.014684642396122	0.00553359683794466	0.00494068191502351
UM	32	0.0167314478713982	0.00512995490852568	0.00485050830453403
UM	33	0.0174078979023168	0.00493736236315051	0.00467776668403451
UM	34	0.0179710034465264	0.00554001641850474	0.00492254414305324
UM	35	0.0159534027899881	0.00637028263152394	0.00515647154346746
UM	36	0.016365802491518	0.0063439831038056	0.0048973962235089
